Ledger
"Date Range:  previous 12 months (01-04-2025 - 01-03-2026)"
,,,,,,,
"Date Posted",Account,"Property / Unit",Reference,Description,Increase,Decrease,Balance
01-01-2026,"6100: Management Fee Expense","2943 Butterfly Palm San Antonio, TX 78245",,"Management Fee Expense for 01/2026",,$117.00,"$2,244.02"
01-01-2026,"4100: Rent","2943 Butterfly Palm San Antonio, TX 78245",trn_665905c2-be23-483f-9933-f0cd982ca602,"Resident Portal Payment","$1,600.00",,"$2,361.02"
12-22-2025,"6415: Utilities","206 Hoover Ave San Antonio, TX 78225",,"Electric/Gas Bill - 11/13/25 to 12/9/25",,$63.98,$761.02
12-17-2025,"6100: Management Fee Expense","206 Hoover Ave San Antonio, TX 78225",,"Appliance - Accept delivery",,$75.00,$825.00
12-04-2025,"3250: Owner Distribution",,,"Owner Distribution",,$817.92,$900.00
12-03-2025,"6415: Utilities","206 Hoover Ave San Antonio, TX 78225",,"Water Bill - 10/23/25 to 11/19/25",,$43.57,"$1,717.92"
12-03-2025,"6404: Landscaping","206 Hoover Ave San Antonio, TX 78225",,"Today is on service was cutting out front yard with mower weed eating our sidewalk and fence line blowing leaves out curbside and driveway cutting our backyard weed eating against fence line picking up some trash big trash and back for a trash pickup and we need all the long pants line and a long outside..",,$80.00,"$1,761.49"
12-01-2025,"6100: Management Fee Expense","2943 Butterfly Palm San Antonio, TX 78245",,"Management Fee Expense for 12/2025",,$117.00,"$1,841.49"
12-01-2025,"4100: Rent","2943 Butterfly Palm San Antonio, TX 78245",trn_7fcab6f4-8623-4c5f-b2c0-ed5aa54b714e,"Resident Portal Payment","$1,600.00",,"$1,958.49"
11-19-2025,"6415: Utilities","206 Hoover Ave San Antonio, TX 78225",,"Electric/Gas Bill - 10/11/25 to 11/12/25",,$90.99,$358.49
11-17-2025,"6460: EGM Maintenance","206 Hoover Ave San Antonio, TX 78225",,"Measured current fridge  65in Heigh, 28in width, 29.5in deep.  The spot where the current fridge is is big you can fit a t size fridge.  See pics. 2. Fixed gas leak coming from gas line to stove.",,$65.00,$449.48
11-14-2025,"6415: Utilities","206 Hoover Ave San Antonio, TX 78225",,"Water Bill - 10/6/25 to 10/22/25",,$35.52,$514.48
11-07-2025,"6403: General Repairs","206 Hoover Ave San Antonio, TX 78225",,"Trash out",,$350.00,$550.00
11-06-2025,"3250: Owner Distribution",,,"Owner Distribution",,"$1,053.10",$900.00
11-05-2025,"6405: Lock Change","206 Hoover Ave San Antonio, TX 78225",,"Lock change - Landlord compliance",,$334.49,"$1,953.10"
11-04-2025,"6415: Utilities","206 Hoover Ave San Antonio, TX 78225",,"Electric/Gas Bill - 10/6/25 to 10/10/25",,$26.70,"$2,287.59"
11-03-2025,"6100: Management Fee Expense","206 Hoover Ave San Antonio, TX 78225",,"Management Fee Expense Credit for 10/2025",$114.00,,"$2,314.29"
11-03-2025,"6100: Management Fee Expense","2943 Butterfly Palm San Antonio, TX 78245",,"Management Fee Expense for 11/2025",,$117.00,"$2,200.29"
11-03-2025,"6100: Management Fee Expense","206 Hoover Ave San Antonio, TX 78225",,"Management Fee Expense Credit for 10/2025",$3.00,,"$2,317.29"
11-01-2025,"4100: Rent","2943 Butterfly Palm San Antonio, TX 78245",trn_1b7ae62a-704a-4524-b413-851ff3ea5c13,"Resident Portal Payment","$1,600.00",,"$2,314.29"
10-24-2025,"6430: Maid Clean","206 Hoover Ave San Antonio, TX 78225",,"Deep cleaning of property including the refrigerator",,$300.00,$714.29
10-24-2025,"6461: EGM - Parts","206 Hoover Ave San Antonio, TX 78225",,Parts,,$7.00,"$1,014.29"
10-24-2025,"6460: EGM Maintenance","206 Hoover Ave San Antonio, TX 78225",,"Removed 3 wasp nests",,$65.00,"$1,021.29"
10-22-2025,"4100: Rent","206 Hoover Ave San Antonio, TX 78225",,"Move Out Deposit Release",$800.00,,"$1,086.29"
10-22-2025,"4100: Rent","206 Hoover Ave San Antonio, TX 78225",,"Move Out Deposit Release",$350.00,,$286.29
10-21-2025,"6403: General Repairs","206 Hoover Ave San Antonio, TX 78225",,"Make Ready Repairs - See invoice for details",,$364.11,$-63.71
10-21-2025,"6420: Painting","206 Hoover Ave San Antonio, TX 78225",,"Touch up paint",,$177.60,$300.40
10-21-2025,"6404: Landscaping","206 Hoover Ave San Antonio, TX 78225",,"Lawncare, includes edging and cleanup, High Grass, Tree Trim, Weed Removal, Leaf Collection and Disposal",,$345.00,$478.00
10-14-2025,"6450: Inspection","2943 Butterfly Palm San Antonio, TX 78245",,"Home Inspection",,$127.00,$823.00
10-09-2025,"4100: Rent","2943 Butterfly Palm San Antonio, TX 78245",trn_bbb2f444-8e34-47ac-89a7-94f30cf680d3,"Resident Portal Payment",$50.00,,$950.00
10-07-2025,"3250: Owner Distribution",,,"Owner Distribution",,$182.00,$900.00
10-01-2025,"6100: Management Fee Expense","206 Hoover Ave San Antonio, TX 78225",,"Management Fee Expense for 10/2025",,$117.00,"$1,082.00"
10-01-2025,"6100: Management Fee Expense","2943 Butterfly Palm San Antonio, TX 78245",,"Management Fee Expense for 10/2025",,$117.00,"$1,199.00"
10-01-2025,"4100: Rent","2943 Butterfly Palm San Antonio, TX 78245",trn_d66dadbf-fa85-4180-af1d-dd85dcb6d94a,"Resident Portal Payment","$1,550.00",,"$1,316.00"
09-16-2025,"6100: Management Fee Expense","206 Hoover Ave San Antonio, TX 78225",,"Management Fee Expense for 09/2025",,$117.00,$-234.00
09-16-2025,"6100: Management Fee Expense","2943 Butterfly Palm San Antonio, TX 78245",,"Management Fee Expense for 09/2025",,$117.00,$-117.00
"Starting Balance",,,,,,,0
